[29-Mar-2014 08:35:11 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\Apache24\htdocs\proj1\sign.php on line 16
[29-Mar-2014 08:36:03 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in C:\Apache24\htdocs\proj1\sign.php on line 16
[29-Mar-2014 08:48:12 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 08:53:26 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 09:54:35 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 09:55:03 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 09:55:37 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 09:57:19 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 09:58:46 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:00:12 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:00:14 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:00:53 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:03:39 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:03:58 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:04:00 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:04:02 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:04:37 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:08:58 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:09:50 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:47:07 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 10:50:41 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 22
[29-Mar-2014 10:51:06 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 22
[29-Mar-2014 10:51:37 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 22
[29-Mar-2014 10:52:09 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 22
[29-Mar-2014 10:53:01 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 22
[29-Mar-2014 11:45:04 UTC] PHP Warning:  define() expects at least 2 parameters, 1 given in C:\Apache24\htdocs\proj1\login.php on line 11
[29-Mar-2014 11:48:13 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
